Username,Text Coment,Sentiment,,,,,,,,,,,,
@marda_azza~,Pemerataan ekknomi dan penduduk bukan dengan pindah ibu kota melainkan dengan membangun pulau2 luar jawa dan transmigrasi.,Negatif,,,,,,,,,,,,
@dhidhiLp~,Ikn bukan solusi tp kolusi.,Negatif,,,,,,,,,,,,
@supratmanareaky~,"Yang sudah eksis aja gak tumbuh malah ancur dibikin, mau ngarepin titik baru dengan biaya hutangan... ngimpiiii...",Negatif,,,,,,,,,,,,
@Aisyunanto~ ,"Mbabat hutan bilang ya utk pemerataan, kenapa bukannya membangun & mengintegritaskan kota2 yg sdh ada ya..Akeh ora nyambunge cah sumber solo siji iki..",Negatif,,,,,,,,,,,,
@LengkengMasak~,"Kenapa duit segitu gede tidak di bagi ke beberapa kota untuk pemerataan Ekonomi, IKN sudahlah biaya besar dan terfokus ke satu titik.",Negatif,,,,,,,,,,,,
@om_patilele~,Kalau mau rata seharusnya setiap propinsi dibangun kegiatan ekonomi bukannya hanya satu kota saja,Negatif,,,,,,,,,,,,
@NurriZainiyah~,"Heloooo pemerataan pembangunan judulnya, pdhl msh banyak desa2 terpencil  yg belum merasakan pembangunan itu spt listrik, jln dll, lagian IKN itu dibangun kan bukn utk di tempat rakyat scr umum, tp lbh tepatnya tempat utk para investor2, ASN, dan horang2 kaya, udh gt gunduliHUTAN",Negatif,,,,,,,,,,,,
@fmalejandromr~,"Oooohhh pemerataan ekonomi?? Bukan menjual lahan untuk orang asing yah..??? Sekalian ngambil batu bara di situ truss diangkut keluar, lalu rakyat disekitar situ disuruh pindah ??? Sontoloyo…kalau warkop DKI bilang.",Negatif,,,,,,,,,,,,
@caesarvaldes~,Pemerataan itu yg bisa meningkatkan taraf hidup rakyat dgn lapangan pekerjaan bukan bangun Ini Kota baru dgn biaya tinggi rakyat tidak butuh ibu kota baru dibangun di tengah hutan,Negatif,,,,,,,,,,,,
@thx_qyu~,"kalimantan yg identik dengan ""paru-paru dunia"" pasti bakalan lenyap. ibukota negara > rakyat pindah ke ibukota > banyak bangunan berdiri > hutan bisa saja dibabat habis.",Negatif,,,,,,,,,,,,
@EdwardK740674~ ,SALAH ! Luar Jawa bukan hanya Kalimantan & Kalimantan bukan hanya IKN... Ada cara² lain yg jauh lebih murah & jauh lebih efektif utk pemerataan pembangunan di luar pulau Jawa..',Negatif,,,,,,,,,,,,
@Cek44988258~,"Nyesel pilih ente ternyata haus kekuasaan membentyk dinasti, pro oligarki, janji tdk sesuai perbuatan, byk pejabat rangkap jabatan, korupsi dimana2, dll,dll…hadeuuuuuhhhh ",Negatif,,,,,,,,,,,,
@tali_buras~,"Ibukota dgn mengorbankan hutan adalah kesalahan, persoalan pemerataan justru memelihara kota-kota yg SDH ada biar ekonomi tumbuh, jalan2 umum gratis yg diperbanyak bukan jalan berbayar",Negatif,,,,,,,,,,,,
@JagaAkalSehat~,"Klo pemerataan, harusnya membangun kota2 besar yg ada seluruh indonesia. Shg pertumbuhan merata. Bukan Cuma bangun IKN. Joko sembung bawa golok dah..",Negatif,,,,,,,,,,,,
@Hery61853436~,Saya tidak setuju klu bangun IKN pakai duit ngutang kasihan rakyat pak joko…lebih baik duitnya dialokasikan yg lebih urgent dan lebih bermaslahat utk rakyat,Negatif,,,,,,,,,,,,
@Mauls11614422~,"Jgn mengatasnamakan rakyat trs,udh jls2 yg d untungkan mreka pemilik lahan ratusan mgkn ribuan hektar",Negatif,,,,,,,,,,,,
@FollowingSeaz~,teelalu bnyk duit utk bangun 1 kota pemerintahan.lebih baik uang nya dipakai utk hal yg lebih penting.,Negatif,,,,,,,,,,,,
@Agoest83058831~,Membangun ibukota baru negara harusnya dengan persetujuan rakyat Indonesia tidak hanya dengan elitnya saja,Negatif,,,,,,,,,,,,
@andreMa16623218~,Kami butuh pekerjaan bukan ibu kota,Negatif,,,,,,,,,,,,
@LAna2678~,"MAKSA lu Pak, udah bikin utang segunung,,duit mah ga ada..yg awalnya ga mau pake APBN malah sekarang pake APBN, investor yg katanya ngantri aja ternyata kosongg",Negatif,,,,,,,,,,,,
@irwanutomo4~,486 triliyun kalau dipakai buat bangun pusat pertumbuhan di beberapa wilayah pasti bagus ketimbang Cuma buat satu wilayah.,Negatif,,,,,,,,,,,,
@PasukanPelor~,"Kita gak butuh IKN pak, yg kita butuh sekolah2 dan fasilitas kesehatan yg merata di daerah2.",Negatif,,,,,,,,,,,,
@makelarcapres~,Tdk ada manfaatnya utk rakyat,Negatif,,,,,,,,,,,,
@Muhammad1851562~,"Meratakan pembangunan tapi bikin kota baru, dari tujuan dan solusinya saja sudah tidak tepat. Lah kota2 di luar jawa aja pada jomplang dengan kota di sulawesi, kalimantan sumatera apalagi maluku, papua,mengapa bukan kota2 itu yg dibangun agar lebih baik.",Negatif,,,,,,,,,,,,
@jokopri_79~,"Mesti ada lagi pembangunan2 di sumatra, sulawesi, irianjaya dan lainnya biar gak hanya di jawa",Negatif,,,,,,,,,,,,
@tyopraska~,Dan kunci utama adalah Jangan membohongi dan Jangan Korupsi. Hukum setimpal dengan penyitaan aset milik koruptor,Negatif,,,,,,,,,,,,
@onang_kea~,"Anda terangkan detailnya pak , bgmn ikn itu memeratakan ekonomi, penduduk & titik tumbuh ekonomi baru ? 400 T untuk 1 kota, penduduk hanya 2 juta, 1 titik saja ikn itu. Kalau uang itu disebarkan ke 20 kota se Indonesia, berapa puluh juta penduduk dan titik yg merasakan ?",Negatif,,,,,,,,,,,,
@anaRrifai~, saya setuju tp masyarakat yg disana gmna pak keadaan dan kondisinya? Terlihat dr berbagai media mereka belom siap.mksud sya masyarakat yg menengah ke bawah.bakal jadi ketimpangan sosial gak? Terlebih kalimantan kawasan hutan.alangkah lebihh baik tetap menjadi hutan?,Negatif,,,,,,,,,,,,
@aridewa94204670~,"emang harus dengan membangun ibukota negara yang baru?bapak kan uangnya banyak, distribusikan aja kekayaan negara ke daerah-daerah yg dinilai masih miskin. IKN bukan solusi pak.",Negatif,,,,,,,,,,,,
@hariji_y ~ ,Proyek yg dibikin utk membangun empire kluarganya,Negatif,,,,,,,,,,,,
@Gunawan89354919 ~,di papua byk mati kelaparan pak..itu yg perlu di pikirkan. IKN tdk membuat rakyat kenyang ,Negatif,,,,,,,,,,,,
@gusdureen ~ ,Utang setinggi gunung masi saja menggunakan APBN untuk kerja sia2,Negatif,,,,,,,,,,,,
@AndyRizaldy ~ ,"kenapa gak buat rumah sakit pemerintah pak, RS swasta...sekolah swasta...gak semua warga negara penghasilannya diatas 10juta pak",Negatif,,,,,,,,,,,,
@Ajipurnomo93734 ~ , Jokowi parah.sdh mau hbs jabatan lupa kluar istana hebat kli kau jokowi punya mahkamah kluarga.negara indonesia seola ola punya kluaga kau jokowi.,Negatif,,,,,,,,,,,,
@edikustanto111 ~, IKN ga berpengaruh thd kesejahteraan Republik Indonesia (bukan Kerajaan Indonesia),Negatif,,,,,,,,,,,,
@mrahmatpulungan ~ ,Dari kedua nama RS diatas menunjukkan bukan NKRI pemiliknya,Negatif,,,,,,,,,,,,
@macanloreng_0 ~ ,"Sayang sekali diakhir masa jabatan malah keliatan haus kekuasaan Krn sayang anak, aturan diubah di mahkamah keluarga. Mengenaskan hanya utk melampiaskan ambisi",Negatif,,,,,,,,,,,,
@wicaks_kun ~ ,"Proyek IKN itu seperti cari ketiak ular, ga akan selesai2. Liat nanti jumlah APBN yg dipake krn ga ada investor yg tertarik. Proyek kamu persis seperti kamu sendiri, ga ada gunanya, berantakan, ga mempertimbangan warga setempat, dan akhirnya banyak utang.",Negatif,,,,,,,,,,,,
@baiturrahmanfm_ ~ ,"Siapkan dan penuhi yang diperlukan/dibutuhkan rakyat saat ini, seperti beras, jangan antri beli gas 3 kg (spt negara ini belum merdeka). Utk apa IKN itu ? Jakarta masih bisa. Utk apa banyak kali fee proyek ?",Negatif,,,,,,,,,,,,
@rhamasukma ~," Kalau masih berbayar dan peruntukannya hanya bagi yang berduit, rakyat Indonesia tidak akan tepuk tangan dan merasa gembira Pak.",Negatif,,,,,,,,,,,,
" ""@bolonglong3 ~",Satu IKN isinya pemodal smua...g ada punya pmerinth..gtu kok bangga,Negatif,,,,,,,,,,,,
@Bons631 ~, Pembangunan ibukota secara instan sangatlah beresiko.sebab bukan mindahin satu rt,Negatif,,,,,,,,,,,,
@hyati6481 ~ ,OOO demi kepercayaan investor..untuk tinggal di IKN..,Negatif,,,,,,,,,,,,
@Pribadi66223655~,"Pak Halunya mulai dihilangkan, karena mulai ide IKN anda itu sudah ngga benar dan wajar, saya takut jika IKN anda akan seperti kota hantu karena tidak ada penghuni. Dan andapun tidak meninggalkan legacy, hanya banyak orang menggerutu.",Negatif,,,,,,,,,,,,
@SSatmo~,You kira negara adalah perusahaan? Ekonomi doang yg dipikirin. Apa hasilnya 9 tahun memimpin di bidang ekonomi? Bangun ini itu dengan hutang sih anak SMA aja bisa.,Negatif,,,,,,,,,,,,
@RizqMuhammad3~,"Sibuk cari investor IKN, sampe lupa sama lahan pertanian...Beras impor, jagung impor, kedelai impor",Negatif,,,,,,,,,,,,
@oktorivan~,"seperti yg sudah2 dlm proyek2 di indonesia, buanyak bocornya , apalagi proyek sekelas IKN mmmm",Negatif,,,,,,,,,,,,
@rachman0565~,IKN itu proyek real estate untuk mengembalikan modal cukong yang bangkrut di reklamasi jakarta....,Negatif,,,,,,,,,,,,
@papatory99~,Proyek ikn berpotensi di korup,Negatif,,,,,,,,,,,,
@daffdav~,"Belum waktunya bangun IKN pak ,, beras murah saja masih antri belum daya beli masyarakat masih rendah . STOP IKN !!",Negatif,,,,,,,,,,,,
@awakmars~,"Masalahe IKN gak referendum dulu ke rakyat. Mau kagak, ujug2 bangun aja.",Negatif,,,,,,,,,,,,
@abi_rahman1980~,"Udah sendirian saja bapak bangun sampai masa jabatan berakhir, Rakkyat gak butuh IKN.",Negatif,,,,,,,,,,,,
@rendibolot~,"Klw dk bisa, dk usah dulu pak, nnt kalau udh bisa baru bangun, jnagan dipaksakan",Negatif,,,,,,,,,,,,
@acunx18~,"Apa² senengnya kok di paksa,,, ikn bukan solusi untuk indonesia",Negatif,,,,,,,,,,,,
@Afgan772~,"Ya kalo dalam negeri kepentingan proyek masing2, saya masih belum menemukan apa yg menarik dari IKN, mestinya yg mengaku sebagai negara maritim IKN sebagai ibukota pelabuhan, bukan di pedalaman",Negatif,,,,,,,,,,,,
@gundala2221~,"IKN jawabnya bisa pak dibangun PEMERINTAH sendirian.... Sederhananya, betapa banyak KEBOCORAN UANG NEGARA, TERMASUK YANG DIMALING/DIKORUP PARA PEJABAT, BAIK YANG DITANGKAP,MAUPUN YANG TIDAK DITANGKAP..",Negatif,,,,,,,,,,,,
@AidulFa~,"Ibu Kota Negara jadi ibu kota pengusaha, bukan ibu kota rakyat",Negatif,,,,,,,,,,,,
@MT93990025~,Akibat ambisius bpk apa tidak berpikir kedepannya IKN bakal jadi bermaslah ???,Negatif,,,,,,,,,,,,
@dodi_rifai~,Kenapa harus membuka lahan baru?kenapa tidak menjadikan kota yg sudah ada menjadi ikn?kan jd lebih irit,Negatif,,,,,,,,,,,,
@abdulmukti691~,"Mending dana triliunan utk IKN digunakan utk subsidi pupuk, subsidi listrik, dan buat bangun sekolah . IKN itu projek gak berguna",Negatif,,,,,,,,,,,,
@leonidz78~,Tetap saja ngotot IKN,Negatif,,,,,,,,,,,,
@Rian__Az~,Semakin jelas progres IKN Mantab pak,Negatif,,,,,,,,,,,,
@YassineBenzia_~,Coba di cek pak aliran dana IKN itu… itu banyak kasus korup pasti.. semoga nanti presiden selanjutnya berani angkat kasus IKN ini.,Negatif,,,,,,,,,,,,
@sastromoeni09~,IKN Tanpa Amdal.duit rakyat dihambur2 se_enak udel ,Negatif,,,,,,,,,,,,
@_suwek_~,Percuma infrastruktur terus dikebut tapi tidak membangun trust pada rakyat . Sekian puluh tahun rakyat tidak punya tumpuan yang tepat dan benar!,Negatif,,,,,,,,,,,,
@AndyIgneel~,Kalau IKN udah jadi.Pasti penduduk asli diusir.,Negatif,,,,,,,,,,,,
@Hasan718057617~,Gimana nsib KALIMANTAN kalau izin tinggal para insfestor sampai 190 tahun...? Scara tdk lngsung Bpak sdh mnjual tanah kalimantan...,Negatif,,,,,,,,,,,,
@rian22fadli~,Penting ndi IKN opo keadaan ekonomi rakyat????,Negatif,,,,,,,,,,,,
@allysawillow~,IKN gak urgen x. Masih bisa ditunda. Habiskan uang 500 T kalau dipakai buat infrastruktur lain yg rakyat langsung merasakan jauh lbh berguna. Proyek Kereta Api di Sumut sdh berhenti alias mangkrak (Kab Labusel). Tol Trans Sumatera sudah dikeluarkan dari PSN,Negatif,,,,,,,,,,,,
@oaseminang~,"Ngapai buang buang uang negara lagi, nanti proyeknya akan di hentikan juga.. Proyek hutang disaat rakyat menjerit...",Negatif,,,,,,,,,,,,
@Twan_mu~,Itu salah satu perusakan lingkungan hidup yang dilakukan penguasa.,Negatif,,,,,,,,,,,,
@Priatam58438067~,Untuk apa pak?,Negatif,,,,,,,,,,,,
@Fadli93577418~,Udh kgk simpati dan respek lagi akibat liat dagelan tingkat tinggi di MK dg menabrak UU,Negatif,,,,,,,,,,,,
@alin_raihani~,Kwkwkwk maksain banget..kek gini bentuknya Ibukota Negara!? Ambyar,Negatif,,,,,,,,,,,,
@kiokio878~,"Yang hijau ini akan menjadi gersang dalam beberapa tahun kedepan, masalah lama akan terulang",Negatif,,,,,,,,,,,,
@NNgambang~,Cerah bagimu tidak cerah bagi rakyatmu.,Negatif,,,,,,,,,,,,
@satia_nagara~,Awalnya hijau menyegarkan mata kedepannya akan terlihat gedung2 pencakar langit yg akan menyerap dana APBN tdk seperti pohon2 hijau yg menyerap air sebagai cadangan masa depan dimasa kemarau dan paceklik,Negatif,,,,,,,,,,,,
@Arafikkampari~,Bangga bangun IKN tetapi menggadaikan rakyat dgn pakai APBN,Negatif,,,,,,,,,,,,
@Naira3Naira~,melihat Anggaran dan Kirangnya Invoestor... ini adalah Megaproyek Bagus... Tapi calon Mangkrak. ...,Negatif,,,,,,,,,,,,
@AcehAlbes~,"Mau pamer² kebaikan dan keberhasilan diujung masa jabatannya, tp malah terjadi kekacauan dmna² untuk masyarakat² yg dipimpinnya.",Negatif,,,,,,,,,,,,
@bungdree~,Penghamburan uang Rakyat ke proyek ga masuk akal yg akan mangkrak ini akan terus berlangsung!!!,Negatif,,,,,,,,,,,,
@SmokesOnMyHead~,Proyek halu aja dibanggain... Palingan mangkrak entar,Negatif,,,,,,,,,,,,
@JimmyAnwar11~,"Hancurr apbn dikarnakan ikn,yg dahulunya digembar gembor bahwasanya pembangunan ikn tdk munggunakan apbn.dan untuk siapa sebenarnya ikn inii..sehingga begitu getol untuk melaksanakannya.dan juga sebelumnya dikatakan bahwa investor yg berminat sudah overload.Janji yg tenggelam.",Negatif,,,,,,,,,,,,
@gadoel01~,"Mengapa terkesan buru buru membangun IKN...Apakah itu tidak menelan biaya yang sangat banyak...Apa kah bapak tau masyarakat masih gundah mikirin hutang dan pangan ....di daerah saya banyak sekali yang mengeluh tentang ekonomi,,bahkan banyak yang ingin merantau jadi TKI..",Negatif,,,,,,,,,,,,
@iwantarigan~,"Setahun 100 kali foto foto di IKN, investor gak ada yg masuk, pakai APBN sedangkan APBN minus, ini persis kaya tetangga gue bangun rumah dengan utang ! Bangga pula foto foto.",Negatif,,,,,,,,,,,,
@gurhanawan~,"Utk pemerataan pembangunan, setelah Kalimantan kemana lagi mw dipindahkan IKn pak??",Negatif,,,,,,,,,,,,
@gaols02~,"Takkan ada presiden yg akan tinggal di IKN itu kelak, kelak itu akan jadi bangunan yg tak berpenghuni, kita lihat saja nanti., ambisi mu berlebihan. Anda Seharusnya meningkatkan pertumbuhan ekonomi, supaya Indonesia menjadi negara maju, Bukan membangun IKN.",Negatif,,,,,,,,,,,,
@SamsungLipatDua~,"Pertanyaannya, knp program ini dilaksanakan diakhir periode jabatannya Pak? Biar urusan hutang jd tanggung jawab presiden selanjutnya kah?",Negatif,,,,,,,,,,,,
@SusanAnisa10~,Tujuan menanam nya buat apa pak? Bagaimana nasib pohon yang ditebang untuk proyek food estate nya yang menelan anggaran triliunan rupiah tapi hasilnya 0 itu pak?,Negatif,,,,,,,,,,,,
@de_VawziSLP ~," Ssst... Jangan berkomentar masalah Mahkamah Keluarga, ya!",Netral,,,,,,,,,,,,
@merahputih_62 ~, Jangan lupa pak....Bangun juga Gedung MK baru isana yaa...,Netral,,,,,,,,,,,,
@Warnilisssn ~," Koment kebanyakan terjebak dgn org2 yg punya kepentingan, terus kawal proyek strategis sampai Bpk pensiun, hasil kerja Bpk sdh byk dinikmati rakyat baik yg suka maupun tdk, sehat selalu presiden ",Netral,,,,,,,,,,,,
@AIMSTARAIM14157 ~, Semangat Pak. Kinerja yang baik saya dukung tapi politik dinasti kita lawan sampai mati,Netral,,,,,,,,,,,,
@farid_gt~,"Proyek yang bisa di bilang sangat ambisius Mengingat sebenarnya masih banyak pencapaian yg masih belum di capai tapi kenapa soal ikn yg kayaknya gak mendesak tapi sepertinya pasti jalan, siapa pun nanti penerus kepala negara nya",Netral,,,,,,,,,,,,
@SAdunk19~,"Indonesia negara kaya dgn SDA nya, harusnya Indonesia negara investor bukan mencari investor ...",Netral,,,,,,,,,,,,
@AnugrahPrahasta~,"Prioritaskan pekerjaan untuk rakyat pak. Tanpa rakyat yang bekerja, negaranya bisa lumpuh.",Netral,,,,,,,,,,,,
@New_BUFFETT~,"Hukum itu esensial, kepercayaan itu mahal ! Siapa investor yg rela investasi di sana dgn tidak ada kepastian hukum di negara ini?",Netral,,,,,,,,,,,,
@SinarLumbantor7~,"Ijin Pak Jokowi, mohon sekali kali klo mau ke IKN yang dimana lewat Bandara sepinggan ke MT Haryono atau sekalian ke KM 0 biar tau gimna rasanya balikpapan semenjak di nobatkan menjadi Tetangga IKN (Penajam). Jalanya sumuk, pembangunan jalan gak kelar dari tahun lalu-sekarang.",Netral,,,,,,,,,,,,
@TriasVeny~,"semoga kualitas infrastruktur yg dibangun berkualitas sesuai dengan spek. Sehingga bertahan lama, minim perbaikan tentunya bermaaf bagi rakyat ",Netral,,,,,,,,,,,,
@putrapeuru~,Sudah terjadi. Tinggal menunggu hasil dan dampaknya. Berapa lama PUPR memproses proyek fantastis IKN.,Netral,,,,,,,,,,,,
@pancajkt~,Efektifkan dari segala sisi luasan IKN cukup seluas jakarta saja... Fokus pada fungsi,Netral,,,,,,,,,,,,
@MedanSoepriono~,"Sebenarnya jika IKN dicita citakan dgn semangat Nasionalisme yang berkedaulatan & berkeadilan sosial sangat bagus sekali ,tapi sayang disaat utang negara menumpuk dipaksakan dgn berbagai alasan sangat menyedihkan. Akan jadi beban rakyat& anak cucu di Republik ini .",Netral,,,,,,,,,,,,
@HadiBSulaiman96~,"Mungkin bisa sedikit ngasih masukan pak presiden yang terhormat , jika memang di kasih rumah dinas atau rumah yang ada di sekitar ikn , mending di buat rusun aja atau apartemen kayak di Singapura atau malaysia , jadi tidak makan lahan bersih tertata rapi dan bagus di lihat nya",Netral,,,,,,,,,,,,
@Adp61481192Adp~,Pengwasan independen secara rahasia untuk ikn mohon kerja nyata,Netral,,,,,,,,,,,,
@RAPanutan~,"Secara prinsip pemindahan IK Negara di Kaltim ini mrpkn azas keadilan keseimbangan antara Wilayah IB- Wilayah IT. Namun yg hrs dipikirkan, jgn sampe pemindahan ini dilakukan secara ""ugal²an"" pak demi mengejar waktu periode kepemimpinan bpk. Tetap menganut prinsip kehati²an.",Netral,,,,,,,,,,,,
@Jayrisen~,"Jangan bangun pakai apbn yaa pak , apalagi apbn nya dapat ngutang ,,kan kasian rakyatmu masih banyak yg lebih urgent di negara ini",Netral,,,,,,,,,,,,
@dAsalbantani~,"IKN menjadi langkah strategis untuk menciptakan pemerataan ekonomi dan penduduk, menjauhkan fokus dari Pulau Jawa. Pembangunan ini membutuhkan kesabaran, tetapi berpotensi memberikan dampak positif jangka panjang. ",Positif,,,,,,,,,,,,
@indraken2546~,"setuju pak, minimalisir dampak lingkungan yg merugikan ya pak, teruslah membangun utk pemerataan pembangunan, biarlah yg tdk setuju, mungkin mereka takut akan efek perpindahan, sehat selalu, tunjukkan dg hasil positif, abaikan yg tdk setuju",Positif,,,,,,,,,,,,
@afan137~,Semangat pak. Ibukota harus pindah. Pusat ekonomi tetap di jakarta.,Positif,,,,,,,,,,,,
@ngilerforever~,"Sy yakin banyak yg setuju dengan gagasannya, namun tidak dengan caranya.",Positif,,,,,,,,,,,,
