Username,Text Coment,Sentiment,,,,,,,,,,,,
@KianSantangSQ~,Pemindahan Ibu kota itu pilihan penting yg harus dilakukan … yg seharusnya dilakukan sebelum periode pak jokowi … tp daripada tidak sama sekali ya lebih baik terlambat … jakarta sudah sakit …. Dan masih banyak masalah lingkungan yg lain,Positif,,,,,,,,,,,,
@sunaryo83407454~,"Setuju pak ..membangun ikn memang tidak mudah..kalau tidak mulai dari sekarang terus mau nunggu apalagi.. soal pro dan kontra sudah biasa. Lanjutkan pak. Visi misi bapak memang untuk jangka panjang. Bagi yg tidak setuju ya silahkan kritik, tapi kritik yg membangun",Positif,,,,,,,,,,,,
@noma_den~,"Wlaupun sudah tdk menjabat lgi nanti nya, hrs ttep di control pak, kalau nga mau jadi mangkrak, wlaupun sdh di tetapkan UU utk pembangunan IKN",Positif,,,,,,,,,,,,
@MarthenRPellok1~,"Langkah yang sangat tepat. Pisahkan Ibu Kota Negara dengan Kota Pusat Pertumbuhan Ekonomi. Contoh: Pusat pertumbuhan ekonomi di Australia ada di Sidney, Ibu Kota Negara ada di Canberra. Pusat pertumbuhan ekonomi Canada ada Toronto, Ibu kota negara ada di Ottawa",Positif,,,,,,,,,,,,
@Wahyu_distira13~,"Setuju pindah aja ibu kota biar gak DKI aja yg di bantu pusat terus Krn satu kota,biar istana negara ada di seluruh wilayah Indonesia biar trjangkau semua Ama pemerintah biar adil kemajuan teknologi,gaji UMR sama biar rata jngn harga bahan pokok aja yg rata tp gaji pendapatn gk",Positif,,,,,,,,,,,,
@Henrys33909634~,"Mantap pak, tapi kalau bisa tidak hanya membangun satu kota tapi lebih banyak kota mirip apa yang pernah dilakukan cina",Positif,,,,,,,,,,,,
@zaysbandung~,"Iya pak, suka bingung sama yang ngak memahami tujuan dari IKN, Indonesia bukan hanya Jakarta, bukan hanya Jawa",Positif,,,,,,,,,,,,
@panjoel63~ ,"Bangsa besar adalah bangsa yg bisa menghargai setiap pemimpinnya,saya kagum dgn yg sudah dilakukan oleh Pak presiden semangat terus pak sehat selalu nanti rakyat Indonesia akan berterima kasih kepada bapak,tetap sabar dan istiqomah.",Positif,,,,,,,,,,,,
@GulAviveCitizen~," Orang yg ingin negaranya maju pasti pengen IKN, tapi org2 dungu ngga bakalan mau terima dengan alesan apapun juga.",Positif,,,,,,,,,,,,
@yawan_josh ~," salam sukses pak..smg pembangunan di IKN selesai tepat wktu, bravo maju terus!",Positif,,,,,,,,,,,,
@Meta578 ~ ,Kami bersama Pak Jokowi @Jokowi. Bapak Presidenku.,Positif,,,,,,,,,,,,
@RosaRosans8 ~ ,Insyaallah aku otw ke ibu kota IKN menikmati keindahan hasil kerja keras yang nyataselamat untuk masyarakat Kalimantan terimakasih pak Jokowi Indonesia tidak akan seperti ini Indonesia jadi indah karena pak Jokowi,Positif,,,,,,,,,,,,
@RosihanAnwarSGz ~, Alhamdulillah... Semoga bermanfaat dan bisa membantu masyarakat,Positif,,,,,,,,,,,,
@GoRing88 ~," Terima kasih pa jokowi anda melihat kalimntan bukan sebagai ladang sumber daya alam, siapa yg oeduli sama Kalimntan kalau bukan jokowi, rata"" semua Cuma ambil batu bara, kayu, minyak tapi g pernah dibangun kalimntan dan kalimntan yh besar seharus bisa bisa maju sepereti brunei",Positif,,,,,,,,,,,,
@dAsalbantani ~, Pembangunan rumah sakit di IKN akan meningkatkan pelayanan kesehatan dan kepercayaan masyarakat serta investor.,Positif,,,,,,,,,,,,
@nurullaela13 ~, Semoga pembangunan IKN akan berjalan lancar,Positif,,,,,,,,,,,,
@RoyMaipauw ~, Tancap trrus Bapak....,Positif,,,,,,,,,,,,
@MangatasMarpau2 ~ ,"Lanjut terus IKN Kita, tetap maju pantang mundur, jangan cemas jangan gentar.Manusia pendosa akan takut untuk membangun,Manusia Jujur dan Ikhlas akan Kuat,Berani untuk masa depan Indonesia Kita.",Positif,,,,,,,,,,,,
@MemetWatan16673 ~ ,Sukses IKN...moga Presiden selanjutnya akan meneruskan sampai tuntas,Positif,,,,,,,,,,,,
@GodlikeOne01 ~, Semoga pembangunan IKN selalu lancar,Positif,,,,,,,,,,,,
@dAsalbantani~,"Kerjasama antara sektor swasta dan pemerintah bisa menjadi kunci kesuksesan pembangunan IKN. Harapannya, ini membawa manfaat bagi pertumbuhan ekonomi dan kesejahteraan masyarakat.",Positif,,,,,,,,,,,,
@RoyMaipauw~,Lanjutkan dan kebut Pak Jokowi.,Positif,,,,,,,,,,,,
@Hend47503320~,"Semoga IKN sukses menjadi ibukota kebanggaan kita, Aamiin",Positif,,,,,,,,,,,,
@dandang_angus~,"Yang penting negeri ini jangan seperti negara lain ya pak, sesama saudara berperang di pecah belah...pak Jokowi harus kawal negeri ini jgn dipimpin oleh orang2 yg diktator dan memaksakhendaknya,.",Positif,,,,,,,,,,,,
@dAsalbantani~,Pembangunan kompleks perkantoran Bank Indonesia di Ibu Kota Nusantara adalah langkah yang positif dalam memperkuat IKN sebagai ibu kota berkelas dunia.,Positif,,,,,,,,,,,,
@ManaluHumiras~,"Yg penting konsisten bahwa biaya pembangunan IKN tdk menambah utang dan utang lagi, tapi murni dari Investor seperti pernyataan bpk waktu itu...Semoga aja perkataan dengan perbuatan sama dan sejalan...",Positif,,,,,,,,,,,,
@fahmi_es~,"Proyek IKN ini adalah proyek jangka panjang, perlu adanya berkelanjutan untuk proyek ini, pun demikian dgn pelestarian lingkungan di sana. Jika ada yg membawa isu perubahan, maka niscaya proyek ini tidak akan berjalan dgn baik.",Positif,,,,,,,,,,,,
@jhonredo~,"IKN SOLUSI INDONESIA MAJU ! PUSAT PEMERINTAHAN TIDAK MUNGKIN LAGI BISA DI JAKARTA ! KARENA SAAT INI BIROKRASI DI JAKARTA BAIK EKSEKUTIF, LEGISLATIF DAN YUDIKATIF TERPAPAR GAYA HIDUP JAKARTA YG HEDONIS ! SEHINGGA TIDAK FOKUS URUS NEGARA DAN PEMERINTAHAN !",Positif,,,,,,,,,,,,
@MasBolali~,"Semoga lancar & sukses IKN nya, Yg pesimis dan mau perubahan biar ke laut aja!!",Positif,,,,,,,,,,,,
@benayakahulta~,Terima kasih Pak Jokowi atas keputusan besar IKN di Kaltim. Saya sbg penduduk Kaltim sangat mengharapkan pengganti Bapak di 2024 nanti punya komitmen yg kuat unt tuntaskan IKN ini scr penuh guna wujudkan INDONESIACENTRIS,Positif,,,,,,,,,,,,
@paulussole66gm1~,"Trmksh pak Jokowi kami masyarakat NTT yg miskin tetap mendukung pembangunan IKN, hanya kelompok intoleran dan kelompok status go yg tidak setuju, maju terus pantang mundur, BPK sudah meletakan fondasi yg kuat agar kedepan generasi muda harus berinovasi dan sejajar dgn masykt duni",Positif,,,,,,,,,,,,
@Boni_Sena~,"Terima kasih pak jokowi, smg infrastruktur IKN segera selesai ",Positif,,,,,,,,,,,,
@great_dimaz~,"Bangsa ini butuh kebanggaan, dan IKN adalah kebanggaan",Positif,,,,,,,,,,,,
@kavairlangga~,IKN akan menjadi project mega besar yg akan bermanfaat untuk kesejahteraan rakyat,Positif,,,,,,,,,,,,
@cekacekii~,"Belum jadi aja udah sekeren itu, apalagi nantii",Positif,,,,,,,,,,,,
@FarezelGibran~,"Melihat langsung progres pembangunan Istana Kepresidenan di Ibu Kota Nusantara, bilah-bilah Garuda yang sudah terpasang menunjukkan keseriusan dalam mewujudkan konsep semula. Mantap!",Positif,,,,,,,,,,,,
@sautjames~,"Keren Pak Presiden. Gak sabar nunggu 10 thn lagi, saya yakin IKN akan menjadi salah satu kota terbaik di dunia. Semoga menjadi hub baru bagi dunia seperti Dubai",Positif,,,,,,,,,,,,
@ktjt__~,IKN akan dirasakan manfaatnya secara penuh saat 100 thn Indonesia Merdeka.,Positif,,,,,,,,,,,,
@DutaLinux,Dengan begini Jakarta bisa berkurang dikit polusinya,Positif,,,,,,,,,,,,
@hallidafira,"Lanjutkan pakde, kami mendukung segala kemajuan untuk Indonesia khususnya di Kalimantan. Jangan Jawa terus yg dibangun, Indonesia bukan Jawa aja.",Positif,,,,,,,,,,,,
@Danu_d4nu,"Setuju pak skip aja yang suka menentang dan nyinyir, bahkan sejak Soekarno, Soeharto, SBY sudah diwacanakan, sehat terus pak jokowi",Positif,,,,,,,,,,,,
@iruv_veldy,Berarti nanti akan ada persoalan baru lagi Pak.. kalimantan sentris... bisa² 78 tahun lagi Presiden masa mendatang pindahin Ibu kota lagi ke pulau lain dengan alasan sentris tadi.. tiap 78 thn kita akan ribut² yg sama...,Netral,,,,,,,,,,,,
@vinsen78,"Sukses pak, IKN bisa bantu kurangi macet dan polusi Jakarta.",Positif,,,,,,,,,,,,
@Panembahan_alit,"Jgn buang2 duit negara dgn bolak balik kesana pak, toh dr kemarin2 jg msh gitu2 aja, gak ada investor yg mau masuk",Negatif,,,,,,,,,,,,
@mastow_wijaya,kajiannya dibenerin dulu pak... anggarannya disiapkan biar gak tergantung inpestor acing.. ibu kota negara lhoooo...mosok yg mbangun asing.. mestinya kan banyak rahasianya...,Negatif,,,,,,,,,,,,
@janetez69,"Apakah pembangunan IKN tidak akan merusak Kalimantan sebagai paru-paru dunia, Pak? Apa lebih baik dipindahkan ke Makassar atau Ujung Pandang? Secara geografis dan Demografis, Makassar sangat potensial dan infrastruktur sudah terbangun.?",Netral,,,,,,,,,,,,
@wanoto_1,"lebih penting utk kesejahteraan rakyat,,, rakyat gk butuh ikn,,, rakyat butuh sejahtera",Negatif,,,,,,,,,,,,
@crissukro,IKN tidak diminati oleh investor asing.,Negatif,,,,,,,,,,,,
@igo_alghozaly,"Sudah berapa banyak dana investasi masuk ke IKN Pak, jangan² hanya pakai dana APBN doang.",Netral,,,,,,,,,,,,
@MasdiSuwandi,IKN pake uang APBN kok ga ijin ke saya pak ? Katanya ga pake uang APBN ?,Negatif,,,,,,,,,,,,
@Naufal96421537,"Smga jd projek mangkrak,dan tak dilanjutkan,stop IKN",Negatif,,,,,,,,,,,,
@SlametR77228919,"Polusinya akan pindah ke IKN, akan beemunculan pabrik2 baru yg banyak, perumahan2 yg akan tumbuh dimana2, dan akan terjadi penebangan hutan yg luas utk memenuhi kebutuhan tersebut. Berkaca dari sejarah jabodetabek sebagai penyangga ibu kota Jakarta, sekarang penuh sesak manusia.",Negatif,,,,,,,,,,,,
@Ray7783512922,Pantau trs pak IKN nya kalau bisa setiap hari habiskan masa jabatan bpk di IKN saja tdk usah ke jakarta dulu,Netral,,,,,,,,,,,,
@satia_nagara,Dan setelah eksodus dr jawa ke IKN maka kabut tadi akan perlahan sirna dg hiruk pikuk lalu lalang aktifitas kegiatan,Netral,,,,,,,,,,,,
@okalikas_,"Sampai detik ini saya masih percaya dngan anda pak presiden Jokowi. Terus melangkah pak hiraukan saja cacian,umpatan serta hinaan dari yg kontra dan dari dulu pro tp sekarng rame2 merendahkamu pak.. Semangat pak",Positif,,,,,,,,,,,,
@indonesian2024,Rakyat kelaparan setiap hari dipamerin ikn mulu. Bener2 sudah ga tahu skala prioritas orang ini.,Negatif,,,,,,,,,,,,
@Bambangsh1970,Semoga lancar n sukses,Positif,,,,,,,,,,,,
@BagasBagaspati,Nggak banyak manfaat yang dirasakan oleh rakyat..,Negatif,,,,,,,,,,,,
@SydnyLog,semoga ada pengaturan tentang kualitas udara di kotanya pak....jgn seperti yg sebelumnya,Netral,,,,,,,,,,,,
@HirupidungBabi,Buat apa bikin IKN?,Negatif,,,,,,,,,,,,
@HaQi_00,Sekarang banyak yang meremehkan proyek ini. Tapi yakin imbas nya 2030 bakalan keliatan,Positif,,,,,,,,,,,,
@BambangDj40,Mantaap.... Semoga lancar,Positif,,,,,,,,,,,,
@seriusboongan,Lebih hijau mana dibanding dengan sebelum adanya project IKN?,Negatif,,,,,,,,,,,,
@gaols02,"Setelah anda nanti tidak lagi jadi presiden maka anda akan melihat IKN akan dibangun dgn setengah hati oleh presiden siapapun berikutnya, dan tak akan selesai, sekalipun ada UUnya, Krn tidak semua UU itu dilaksanakan kalau tdk urgen.",Negatif,,,,,,,,,,,,
@jekseparoe,Semua diserahkan ke swasta ya pak ...wah sangat tidak hijau buat kantong rakyat.,Negatif,,,,,,,,,,,,
@vladinord01,"Sudah berapa juta orang yang tinggal di IKN pak jokowi, apa sudah ada warung makan murahnya pak.",Netral,,,,,,,,,,,,
@AndiammuliaPd,"Maaf..Pak.. tidak ada itu IbuKota Nusantara, yang ada itu Negara ini didirikan dan dengan Nama Ibu Kotanya ; Ibu Kota Negara Kesatuan Republik Indonesia.! Maaf Pak tidak boleh kita merubah"" Nama Sejarah Besar Nama IbuKota Republik Indonesia menjadi Nusantara.!",Negatif,,,,,,,,,,,,
@NelsonGultom,"IKN buat mainan para pemilik modal atau konglonerat, rakyat kecil...? Hanya bisa nonton kesenjangan....",Negatif,,,,,,,,,,,,
@nunungmar1404,Ramah lingkungan memang yang sangat diharapkan semoga saja karena dari titik nol sudah diplaning dalam ramah lingkungan Berhasil sukses dan menjacontoh untuk kota yang akan dibangun dari pedesaan yg terpencil. Sehat selalu bapak aktivitas yg harus dijalankan begitu padat.,Positif,,,,,,,,,,,,
@Indonesiaguyub,IKN terkesan sebagai pemaksaan legacy pada masa pemerintahan Jokowi. Sebagian besar hanya GROUNDBREAKING tanpa kejelasan kelanjutannya. Karena terkait pendanaan juga. Bahkan investor asing belum ada yg berminat membangun di IKN.,Negatif,,,,,,,,,,,,
@arifgun4,IKN gak perlu dilanjutkan,Negatif,,,,,,,,,,,,
@ErwinSatriani,"Jgn lupakan kota penunjang di sekitar Nusantara agar tata ruang kotanya jg bener"" disusun pak, prbanyak transportasi massal khsusnya brbasis rel. Bahan logistik antar kota jgn lagi pake truk besar tp dimuat pake kereta.",Positif,,,,,,,,,,,,
@SamoHun31918229,Bukan IKN yg d butuhkan rakyat skrg ...tapi stabiltas harga dan ketersediaan lapangan kerja buat warga negara sendiri...bukan buat WNA...faham ya paduka yg mulia ...?,Negatif,,,,,,,,,,,,
@GeraldiRahman,"Semoga yg tinggal disana memiliki sdm yg baik, agar seimbang dengan sarana dan prasarana disana. Mampu menjadi contoh bagi kota lain",Netral,,,,,,,,,,,,
@fsmua50,"Ide membuat kota baru IKN sbg ibukota tentunya sangat baik krn Jkt sudah sangat padat dan polutif tapi utk membuat IKN layak huni tentulah perlu waktu krn tdk ada kota penyangga disekitarnya yg bisa menunjang IKN, perlu waktu panjang bagi IKN utk benar2 berfungsi sbg ibukota",Positif,,,,,,,,,,,,
@status_saya12,Bapak ini cuma pengen di catat dalam sejarah karena berhasil bikin ibu kota baru.,Negatif,,,,,,,,,,,,
@Toni1Himawan,"Hutan dibabat demi ambisi, sekarang acting lagi nanam pohon, jiwa yang sehat diawali dari akal yang sehat juga",Negatif,,,,,,,,,,,,
@uchiien,Pak pak. Mending anggarannya buat ngurusin upah pekerja yg masih di tindas sama perusahaan yg gajinya masih dibawah UMR. Masih banyak pak perusahaan yg semena mena kek gitu. Melek napa.,Negatif,,,,,,,,,,,,
@BetySyaiful,"Semangaat pak de. Smg pak de sdh bisa menempati IKN tsb, sbg awal, org pertama yg memasuki istana presiden yg baru. Sekaligus org pertama yg meneruskn keinginan presiden kita yg pertama dulu, bpk soekarno.",Positif,,,,,,,,,,,,
@Adp61481192Adp,Semoga cepat selesainya dan pindah ke IKN .LUAR BIASA,Positif,,,,,,,,,,,,
@sautjames,"Keren Pak Presiden. Gak sabar nunggu 10 thn lagi, saya yakin IKN akan menjadi salah satu kota terbaik di dunia. Semoga menjadi hub baru bagi dunia seperti Dubai.",Positif,,,,,,,,,,,,
@hakammuh,"Ujung2nya jadi the real saranjana ini mah, jadi kota kosong kalo sampe skrng gaada investornya",Negatif,,,,,,,,,,,,
@AntiKebodohan,"Mengorbankan asn tni polri demo ego pribadi, disuruh tinggal di tempat yg bahkan infrastrukturnya saja blm siap, apalagi sarana pendukung untuk keluarganya, IKN ini menguntungkan siapa sbnrnya ?",Negatif,,,,,,,,,,,,
@PutuEko123,Mantap Pak Presiden. Saya juga kepingin punya tempat tinggal di IKN suatu saat. Pasti asikk,Positif,,,,,,,,,,,,
@alifnai69,"Proyek buang duit, ga ada untung buat rakyat. Cuma buat pejabat dan pengusaha kakap aja.",Negatif,,,,,,,,,,,,
@bagjoz,"Istana dan istana sementara diluar sana masih banyak yg tidak punya rumah, etik kah? Istana di isi oleh org2 haus kekuasaan",Negatif,,,,,,,,,,,,
@BbTri65,"Bagi kaum rengil yang membenci Pak Jokowi buka mata, hati dan telinga bahwa beliau membangun IKN bukan utk kepentingan diri pribadi tetapi utk mempersiapkan masa depan bangsa dan negara, setidaknya sejajar dengan bangsa"" lain dan untuk generasi mendatang.",Positif,,,,,,,,,,,,
@grosirtaskulit,uang rakyat untuk ambisi nafsu pejabat dan konglomerat,Negatif,,,,,,,,,,,,
@bayu_mika,"Proyek ujug2.. ngga ada di visi misi, setelah gagal reklamasi dki. Terbitlah ikn, proyek yg tdk urgent",Negatif,,,,,,,,,,,,
@nfaacn,"Mari kita hentikan, Pak!",Negatif,,,,,,,,,,,,
@mangunsong63,Fungsi Kepala Otoritas IKN itu apa sih.. Kok hal sepele gini harus Presiden yg lakuin. Atau tidak percaya pada Pejabat yg diangkat ? Atau si Pejabat dianggap tak bisa kerja ?,Netral,,,,,,,,,,,,
@PrayogiYulistio,"9 jam lebih postingan tapi hanya ratusan respon publik, artinya kepercayaan publik sudah menurun drastis kepada anda. Perbaiki lah sebelum terlambat.",Netral,,,,,,,,,,,,
@salman42224615,Ini kl gak d dukung pemimpin selanjutnya y pasti mangkrak..... Apalagi pemimpinnya doyan duit.... Investor butuh kepastian ini.... Cuma hukum kita masih belum pasti.....,Netral,,,,,,,,,,,,
@afatsal,"Musti di kawal pak sampe selesai disana, takut ngga sesuai jadwal. Jakarta aman lah ada pak Maruf kawal pilpres.",Netral,,,,,,,,,,,,
@tripl3iz,"tolong jangan sampe preman2 berkedok ormas masuk ikn pak, kasian pengusaha disana udah bayar pajak dan memajukan ikn",Netral,,,,,,,,,,,,
@MamokaPuji,IKN harapan baru bangsa untuk lebih maju,Positif,,,,,,,,,,,,
@TMiaves37607,Mantap makin cepat pembangunan IKN demi perpindahan 2024 ,Positif,,,,,,,,,,,,
@Lnaplt,"Pak Jokowi, baik pembangunan pisik kita bangun karena sarana diperlukan, cuma harus kita sadari bahwa manusia utuh itu juga memerlukan pembangun mental yang bersumber dari norma-norma salah satunya etika, kita tahu bahwa etika itu nyata dalam perbuatan kita atau keteladanan bapak",Netral,,,,,,,,,,,,
@Didi_margo,Ide bagus pak tapi jangan jadi Gosh toen sarana super block nya dan kawasan ini bisa menarik untuk hunian perkantoran dan pendidikan semoga bisa mengembangkan kesejahteraan masyarakat Kaltim khusunya IKM dan kota sekitarnya Balikpapan untuk semakinaju,Positif,,,,,,,,,,,,
@soak_paijo," Saya asn pusat..berharap proyek IKN tidak mandeg pak ...lanjutkan dan tuntaskan.berharap bisa pindah ke IKN,karena pengen bekerja ditmpt yg jauh dr hingar bingar dan padatnya jakarta.gas teross pak.",Positif,,,,,,,,,,,,
@cinta17cantika ,Bagus sekali memang arsitekturnya keren dan luar biasa sekali melambangkan Indonesia,Positif,,,,,,,,,,,,
@good_hary,Semoga dengan IKN yg baru bs bermanfaat utk masyarakat sekitar dan Indonesia semakin maju dan sejahtera. Semoga proyek IKN ini tdk meninggalkan jejak yg kurang baik di kemudian hari.,Positif,,,,,,,,,,,,
@guluunaa,"Berita bagus! Pembangunan Nusantara Superblock di Ibu Kota Nusantara telah dimulai, membawa berbagai fasilitas dan potensi pertumbuhan ekonomi untuk Kalimantan Timur. Waktu yang menarik bagi masyarakat setempat! ",Positif,,,,,,,,,,,,
@JamesEfrai24373 ,bagus bangett ya keliatan dari bangunannya,Positif,,,,,,,,,,,,
@kavairlangga,IKN akan menjadi project mega besar yg akan bermanfaat untuk kesejahteraan rakyat,Positif,,,,,,,,,,,,
@Nurhadi06842723,"IKN untuk berGantian dari pulau Jawa ke Kalimantan agar rakyat bisa menikmati ibukota negara Indonesia,dulu rakyat Kalimantan sulit mau ke ibukota negara,sudah saatnya rakyat Kalimantan mudah untuk berkunjung ke ibukota negaranya sendiri.",Positif,,,,,,,,,,,,
@RiskaNoviy88415,Proyek yg fantastis dgn anggaran yg fantastis pula kami harapkan agar proyek 2 seperti ini tidak di tunggangi politik dan bebas dari korupsi nantinya,Netral,,,,,,,,,,,,
@hlbasuki,"Saya pengen tinggal di IKN, Ada lokasi buat Rakyat BP Jokowi,, Yg murah aja,,,",Netral,,,,,,,,,,,,
@perangbulan,Masa depan lebih cerah dengan adanya pembangunan IKN,Positif,,,,,,,,,,,,
@ade206,bangga liat IKN…sehat selalu Jokowi,Positif,,,,,,,,,,,,
@Faldylouis_,"Yang penting nanti disana harus jadi kota percontohan pak. Mulai dari sistem persampahannya, sistem airnya, dan tata kota nya ",Netral,,,,,,,,,,,,
